Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
Koch and Salou (2015),Soft wheat,France,0.125520378,0.125,1.212800464,0.015348316,0.239384222,0.044642146,,0.212028691,,,,0.008623985,,0,0,0.048988918,0.024764859,0,0,0,0,0,0,9.47845E-05,0.009539851,0.004801448,26.95260778,129.4774295
Koch and Salou (2015),Soft wheat,France,0.125520378,0.125,1.001570015,0.0106448,0.137062114,0.036390363,,0.154384338,,,,0.007928232,,0,0,0.042865303,0.024764859,0,0,0,0,0,0,8.29364E-05,0.008372095,0.003997599,4.302265209,15.67010374
Naudin et al. (2014),Wheat,France,0.068438728,0.5,0.956521915,0.326776413,,,,,,,,,,0,0,0.045990305,Incl,0,0,0,0,0,0,8.89827E-05,0.00529457,0.002666704,2.19443191,5.079232099
Naudin et al. (2014),Wheat,France,0.068438728,0.5,0.806312739,0.190766771,,,,,,,,,,0,0,0.049177752,Incl,0,0,0,0,0,0,9.51499E-05,0.004452155,0.003620763,2.19443191,5.079232099
Nemecek et al. (2008),Wheat,France,0.047403447,0.333333333,1.227508507,0.55311496,,,,,,,,,,0,0,0.051679135,Incl,0,0,0,0,0,0,9.99896E-05,0.009589083,0.009348107,4.002528469,7.48358466
Nguyen et al. (2012b),Wheat,France,0.519857809,0.2,1.035979027,0.396321588,,,,,,,,0.007380626,0.014925184,0,0,0.049120487,Incl,0,0,0,0,0,0,9.50391E-05,0.007355054,0.003844022,2.19443191,5.079232099
Nguyen et al. (2013a),Wheat,France,0.108929172,1,0.922431533,0.318469226,,,,,,,,NC,0,0,0,0.055063693,Incl,0,0,0,0,0,0,0.000106538,0.00580966,0.003966965,2.19443191,5.079232099
van der Werf (2004),Wheat,France,0.519857809,0.2,1.118465272,Incl,0.172534288,0.02521049,0.044512271,0.151656851,,0,0.047607218,0,0.017375638,0,0,0.051277993,0,0,0,0,0,0,0,9.92134E-05,0.005822724,0.003588499,2.19443191,5.079232099
van der Werf et al. (2005),Winter wheat,France,0.05994561,1,0.997136563,0.276097016,,,,,,,0.047129167,0,0.017363886,0,0,0.068618224,0,0,0,0,0,0,0,0.000132764,0.007850129,0.0037389,2.19443191,5.079232099
Vellinga et al. (2013),Wheat,France,0.519857809,0.2,0.87205549,0.012383732,0.062292416,0.046112568,,0.10031506,,0.019415818,0.02022481,Incl,0.000808992,0,0,0,0.013752871,0,0,0,0,0,0,8.56063E-05,0.012324812,-,1.965113776,4.548452345
Hayer et al. (2008),Wheat,Germany,0.073071653,0.25,1.240635449,0.406212838,,,,,,,,,,0,0,0.138667846,0.096857224,0,0,0,0,0,0,0,0.006054853,0.004974389,110.0477182,264.1409633
Hayer et al. (2008),Wheat,Germany,0.073071653,0.25,1.228287554,0.39572287,,,,,,,,,,0,0,0.13855809,0.096857224,0,0,0,0,0,0,0,0.005993999,0.004882895,109.9623526,263.9340533
Hayer et al. (2008),Wheat,Germany,0.073071653,0.25,1.223283131,0.391468557,,,,,,,,,,0,0,0.13851649,0.096857224,0,0,0,0,0,0,0,0.005975514,0.004796899,110.1678236,264.432076
Hayer et al. (2008),Wheat,Germany,0.00122591,1,1.475743424,0.470241186,,,,,,,,,,0,0,0.27646169,0.096857224,0,0,0,0,0,0,0,0.026997217,0.015152726,109.9451636,263.8923904
Hirschfeld et al. (2008),Winter wheat,Germany,0.554841619,0.2,1.344167581,0.005648525,0.218015559,0.003781727,0.034626338,0.106464688,0.015148984,0,0.061351553,0.008930993,0.035688119,0,0,0.151993969,0.088961859,0,0,0,0,0,0,0,0.007736162,-,2.19443191,2.725089435
Hirschfeld et al. (2008),Winter wheat,Germany,0.061649069,1,1.30428794,0.005648525,0.122298445,0.003781727,0.034626338,0.057795116,0.008223734,0.121161057,0.061351553,0.004848253,0.035688119,0,0,0.151993969,0.088961859,0,0,0,0,0,0,0,0.01367048,-,2.19443191,2.725089435
Hirschfeld et al. (2008),Winter wheat,Germany,0.009308477,0.5,1.249772729,0.010889259,0.025776507,0.00591392,0.054149168,0,0,0.067821083,0.020423621,0,0.06879976,0,0,0.306846386,0.088961859,0,0,0,0,0,0,0,0.006691868,-,2.19443191,2.725089435
Hirschfeld et al. (2008),Winter wheat,Germany,0.001034275,1,1.123288934,0.008469424,0.020048394,0.004599715,0.054149168,0,0,0.052749732,0.020188095,0,0.053510925,0,0,0.2383276,0.088961859,0,0,0,0,0,0,0,0.006072312,-,2.19443191,2.725089435
Küstermann et al. (2008),Winter wheat,Germany,0.148835334,1,0.976096568,Incl,0.093794437,0.024966865,0.063226897,0.301966384,,,,0.008480638,0,0,0,0.167810441,0.088961859,0,0,0,0,0,0,0,0.01015031,0.004004033,2.19443191,2.725089435
Küstermann et al. (2008),Winter wheat,Germany,0.002496983,0.5,1.18580691,Incl,0,0.051728364,0.089720948,0,0,0.302757845,,0,0,0,0,0.363397705,0.088961859,0,0,0,0,0,0,0,0.011725778,0.004854549,2.19443191,2.725089435
Küstermann et al. (2008),Winter wheat,Germany,0.002496983,0.5,1.36029056,Incl,0,0.060411037,0.128514864,0,0,0.459902635,,0,0,0,0,0.281340159,0.088961859,0,0,0,0,0,0,0,0.008222888,0.002317291,2.19443191,2.725089435
Küstermann et al. (2008),Winter rye,Germany,0.000432155,1,0.921667068,Incl,0,0.04256393,0.054106691,0,0,0.174311287,,0,0,0,0,0.310353894,0.082696939,0,0,0,0,0,0,0,0.010173677,0.003397743,2.19443191,2.725089435
Nemecek et al. (2005),Winter wheat,Germany,0.554841619,0.2,1.098669233,0.010725354,0.501558217,,,,,,,0,0,0,0,0,0.007587212,0,0,0,0,0,0,0,0.006867082,0.011946794,2.19443191,2.725089435
Nemecek et al. (2008),Wheat,Germany,0.073071653,0.25,1.239275293,0.485762579,,,,,,,,,,0,0,0.154807739,Incl,0,0,0,0,0,0,0,0.006312114,0.004511148,3.833661541,6.698270607
Vellinga et al. (2013),Rye,Germany,0.147104525,1,0.906251126,0.026614305,0.051467285,0.070256929,,0.078426339,,0.051467285,0.02369129,Incl,0.022057408,0,0,0,0.011437174,0,0,0,0,0,0,0,0.014709907,-,1.965113776,2.440317589
Vellinga et al. (2013),Wheat,Germany,0.554841619,0.2,0.860636338,0.013147664,0.055820477,0.047730553,,0.086562189,,0.038022644,0.02022481,Incl,0.016179848,0,0,0,0.017797833,0,0,0,0,0,0,0,0.013623029,-,1.965113776,2.440317589
Zygouras et al. (2005); Achten and van Acker (2016),Wheat flour,Greece,0.648,1,1.839891246,0.028117153,0.909121285,,,,,,,0,NC,0,0,0.186187495,0.039745822,0,0,0,0,0,0,0,0.014501655,0.004837539,2.19443191,67.45334777
Aryal et al. (2015),Wheat,India,0.106586504,0.5,0.869177435,0.004901464,0.051767599,NC,0.004774163,0.176731788,,,,Incl,0,0,0,0.004005341,0.087708875,0,0,0,0,0,0,0,-,0.003653949,417.4685762,34313.5336
Aryal et al. (2015),Wheat,India,0.012388239,0.2,0.683008845,0.005194509,0.058161571,NC,0.002947634,0.192148098,,,,Incl,0,0,0,0.004513756,0.087708875,0,0,0,0,0,0,0,-,0.00383847,470.1917025,38663.37341
Pathak et al. (2012a); Pathak et al. (2012b),Wheat flour,India,0.501840753,1,0.867456973,0.013649188,0.162729224,,,0.04902688,0.0253653,0.007317445,,0.030192707,0,0,0,0.005890189,0,0,0,0,0,0,0,0,0.012735413,0.006443981,918.8607303,12715.66635
Pathak et al. (2012a); Pathak et al. (2012b),Wheat flour,India,0.066909247,1,0.874978529,0.010213452,0.128968366,,,0.030306122,0.016101863,0.009776169,,0.020349525,0,0,0,0.006037904,0.055902625,0,0,0,0,0,0,0,0.009949532,0.014418458,952.6929661,3684.535481
Saharawat et al. (2012),Wheat,India,0.012388239,0.2,0.992646909,0.007565896,0.171321357,0.002181416,0.053537924,0.040193467,0.023063819,0,0.009406982,0.033286622,0,0,0.000568007,0.005565386,0.088961859,0,0,0,0,0,0,0,0.013232677,0.003505053,1271.810881,104799.7213
Saharawat et al. (2012),Wheat,India,0.012388239,0.2,0.998994869,0.007686499,0.174667477,0.002181416,0.04952258,0.045324547,0.023063819,0,0.010262162,0.033286622,0,0,0.000568007,0.005565386,0.088961859,0,0,0,0,0,0,0,0.013232677,0.003511028,1156.383551,95276.56826
Saharawat et al. (2012),Wheat,India,0.012388239,0.2,0.960776764,0.006960407,0.148567739,0.002181416,0.04617646,0.042759007,0.023063819,0,0.010262162,0.033286622,0,0,0.000568007,0.005565386,0.088961859,0,0,0,0,0,0,0,0.013232677,0.003505023,1266.760936,104383.0833
Sapkota et al. (2014),Wheat,India,0.106586504,0.5,0.805599277,Incl,Incl,NC,Incl,0.181276986,,,,Incl,0,0,0,0.005569252,0.087708875,0,0,0,0,0,0,0,-,0.0049711,146.4946498,11957.24981
Sapkota et al. (2014),Wheat,India,0.012388239,0.2,0.43836947,Incl,Incl,NC,Incl,0.169641829,,,,Incl,0,0,0,0.005267591,0.087708875,0,0,0,0,0,0,0,-,0.004718836,138.6739848,11312.01797
Fallahpour et al. (2012),Wheat,Iran (Islamic Republic of),0.05586,1,1.808121703,1.05631042,,,,,,,,,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.009119748,0.015222303,1450.592592,89886.40437
Fallahpour et al. (2012),Wheat,Iran (Islamic Republic of),0.02814,1,1.230836922,0.524161842,,,,,,,,,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.008380055,0.001750003,2.11024594,86.53905465
Ghahderijani et al. (2013),Wheat,Iran (Islamic Republic of),0.15,0.2,1.663229154,0.090101109,0.136078497,0.02622259,0.153931878,0.317437726,0.062045057,0.028595456,0.021456404,0.090619715,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.033477292,0.012073057,601.4461947,38130.72492
Ghahderijani et al. (2013),Wheat,Iran (Islamic Republic of),0.15,0.2,1.286189127,0.033483716,0.093983616,0.01852441,0.102526838,0.206746325,0.042977298,0.018857938,0.021043351,0.062943812,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.023325846,0.008287614,806.2361397,51130.22336
Ghahderijani et al. (2013),Wheat,Iran (Islamic Republic of),0.15,0.2,1.137167651,0.020784694,0.075967357,0.016833319,0.071314487,0.166098263,0.034852687,0.015182357,0.020765775,0.05105239,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.01941005,0.006733792,660.1001753,41853.91714
Ghahderijani et al. (2013),Wheat,Iran (Islamic Republic of),0.15,0.2,0.981646361,0.013807453,0.052390424,0.013692922,0.062104742,0.103478976,0.023533636,0.014230497,0.020603531,0.0345864,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.014735184,0.005031361,585.0415696,37089.40476
Mirasi et al. (2015),Wheat,Iran (Islamic Republic of),0.15,0.2,1.444570872,0.054422581,0.234590382,0.089807833,0.13103887,0.133712538,0.030390357,0,0.020785718,0.044671702,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.018094714,0.006472708,3612.024395,229233.8898
Mohammadi et al. (2014),Wheat,Iran (Islamic Republic of),0.1,0.5,1.047463403,0.023708432,0.029407761,0.007653778,0.192659565,0.072571196,,0.00579608,0.012340041,0.052871476,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.018416136,0.007020685,734.938105,68403.35362
Sami et al. (2014),Wheat,Iran (Islamic Republic of),0.05,1,2.702267583,0.1082559,0.104629407,0.001799707,1.488128549,0.063079927,0.018432106,0,0.02072813,0.026782993,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.012349169,0.003269323,3166.831526,203066.7933
Soltani et al. (2013),Wheat,Iran (Islamic Republic of),0.03,0.1,1.321799807,0.01276679,0.242633155,0.052371637,0.012702635,0.180938386,0.039583822,0,0.045060673,0.049182454,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.016772802,0.008323882,948.3682687,85882.3819
Soltani et al. (2013),Wheat,Iran (Islamic Republic of),0.03,0.1,0.880730982,0.004686446,0.094436945,0.040424812,0.017599459,0.03168716,0.008906419,0,0.044041172,0.011230924,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.007438184,0.004152712,937.7728483,84921.7105
Soltani et al. (2013),Wheat,Iran (Islamic Republic of),0.03,0.1,1.015172973,0.008462275,0.143973027,0.057406243,0.014732744,0.062902785,0.016574384,0,0.044498617,0.02084032,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.010020251,0.005303571,945.9950083,85667.20182
Soltani et al. (2013),Wheat,Iran (Islamic Republic of),0.03,0.1,0.820415916,0.011256196,0.085280586,0.052879574,0.00255982,0,0,0,0.045849375,0,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.004984159,0.002928058,2.11024594,86.53905465
Soltani et al. (2013),Wheat,Iran (Islamic Republic of),0.03,0.1,1.497190703,0.020913631,0.276905762,0.092680137,0.025220137,0.218190407,0.047686469,0,0.045921837,0.059308254,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.020078781,0.009846198,959.5477508,86896.00934
Soltani et al. (2013),Wheat,Iran (Islamic Republic of),0.07,0.5,1.067252081,0.009733778,0.156954358,0.065303983,0.030617565,0.066301481,0.017725351,0,0.045159047,0.022320579,0,0,0,0,0.088961859,0,0,0,0,0,0,0,0.010514922,0.005669726,945.2069205,85595.74704
FAO (2014),Wheat,Ireland,0.9998,1,1.446650792,0.012318068,0.216612096,0.067137082,,0.125205116,0.040691663,0.011128116,0.047117763,0.007982332,0,0,0.005306556,0.08364584,0.112768554,0,0,0,0,0,0,0,0.008249632,-,2.19443191,1.562808573
FAO (2014),Wheat,Ireland,0.0002,0.5,1.387742087,0.012213281,0.216612096,0.062703501,,0.125205116,0.040691663,0.011128116,0.047117763,0.007982332,0,0,0.005306556,0.08364584,0.112768554,0,0,0,0,0,0,0,0.008048827,-,2.19443191,1.562808573
FAO (2014),Wheat,Ireland,0.0002,0.5,1.349134341,0.011631604,0.216612096,0.038092603,,0.125205116,0.040691663,0.011128116,0.047117763,0.007982332,0,0,0.005306556,0.08364584,0.112768554,0,0,0,0,0,0,0,0.007906515,-,2.19443191,1.562808573
Goglio et al. (2012),Winter wheat,Italy,0.0150464,0.5,1.012869678,0.350700774,,,,,,,,,0,0,0,0.015209781,0.088961859,0,0,0,0,0,0,0,0.004462741,0.004483349,2.19443191,38.95524805
Goglio et al. (2012),Winter wheat,Italy,0.0150464,0.5,1.090741421,0.415830917,,,,,,,,,0,0,0,0.018222997,0.088961859,0,0,0,0,0,0,0,0.004545872,0.005761226,2.19443191,38.95524805
Hayer et al. (2008),Wheat,Italy,0.28606968,0.5,1.036991054,0.369392872,,,,,,,,,,0,0,0.009730252,0.096857224,0,0,0,0,0,0,0,0.00717001,0.004657851,389.1189484,1156.215266
Hayer et al. (2008),Wheat,Italy,0.01813032,1,1.117701469,0.435056225,,,,,,,,,,0,0,0.0146943,0.096857224,0,0,0,0,0,0,0,0.018977956,0.011308289,389.1504143,1156.306125
Noya et al. (2015),Wheat,Italy,0.09272344,1,1.091517285,0.024204041,0.086394303,,0.0514275,0.349181034,,,,,0,0,0,0.012487832,0,0,0,0,0,0,0,0,0.006299477,0.000998274,2.19443191,38.95524805
Tamburini et al. (2015),Wheat,Italy,0.28606968,0.5,1.12292972,0.446266735,,,,,,,,,0,0,0,0.015954251,0.088961859,0,0,0,0,0,0,0,0.005789684,0.004627625,2.19443191,38.95524805
Koga et al. (2006); Nakashima (2010),Winter wheat,Japan,1,0.5,1.589704523,0.0220838,0.114185449,0.04607483,0.165468738,0.090918461,,,,0.027694583,-,0,0,0.474409658,Incl,0,0,0,0,0,0,0,-,-,2.19443191,2.08001423
Koga et al. (2006); Nakashima (2010),Winter wheat,Japan,1,0.5,1.559826096,0.020870143,0.11759098,0.04607483,0.140628395,0.087933613,,,,0.027694583,-,0,0,0.474409658,Incl,0,0,0,0,0,0,0,-,-,2.19443191,2.08001423
FAO (2014),Wheat,Kenya,0.985,1,1.165820023,0.01678099,0.050036127,0.242037325,,0.025573481,0.008311381,0.08578632,0.031387782,0.002660147,0,0,0.012215711,0.021764746,0.112768554,0,0,0,0,0,0,0,0.008051263,-,2.11024594,61.10020867
FAO (2014),Wheat,Kyrgyzstan,0.797,1,1.091948326,0.018442426,0.075189913,0.151646563,,0.035506626,0.011539653,0.012006054,0.056546619,0.009293047,0,0,0.024594878,0,0.112768554,0,0,0,0,0,0,0,0.009798021,-,1514.71658,104786.9332
FAO (2014),Wheat,Latvia,1,0.333333333,5.562224588,0.035101499,0.089847874,0.204125684,,0.043552295,0.014154496,0.007282788,0.048130009,0.002776635,0,0,0.018987605,2.779947987,0.112768554,0,0,0,0,0,0,0,0.007850392,-,2.19443191,2.874749691
FAO (2014),Wheat,Latvia,1,0.333333333,4.892958779,0.034005442,0.089847874,0.19073446,,0.043552295,0.014154496,0.007282788,0.048130009,0.002776635,0,0,0.018987605,2.779947987,0.112768554,0,0,0,0,0,0,0,0.007217169,-,2.19443191,2.874749691
FAO (2014),Wheat,Latvia,1,0.333333333,4.707104703,0.027866043,0.089847874,0.11572551,,0.043552295,0.014154496,0.007282788,0.048130009,0.002776635,0,0,0.018987605,2.779947987,0.112768554,0,0,0,0,0,0,0,0.006768399,-,2.19443191,2.874749691
FAO (2014),Wheat,Lithuania,0.9996,0.333333333,3.556100151,0.033473402,0.132916946,0.193720341,,0.069783075,0.022679499,0.010125439,0.047945572,0.004448953,0,0,0.018899279,1.080737553,0.112768554,0,0,0,0,0,0,0,0.008491067,-,2.19443191,2.796979024
FAO (2014),Wheat,Lithuania,0.9996,0.333333333,2.979795433,0.032608088,0.132916946,0.180781523,,0.069783075,0.022679499,0.010125439,0.047945572,0.004448953,0,0,0.018899279,1.080737553,0.112768554,0,0,0,0,0,0,0,0.007890527,-,2.19443191,2.796979024
FAO (2014),Wheat,Lithuania,0.9996,0.333333333,2.798063558,0.027851885,0.132916946,0.109663267,,0.069783075,0.022679499,0.010125439,0.047945572,0.004448953,0,0,0.018899279,1.080737553,0.112768554,0,0,0,0,0,0,0,0.007464919,-,2.19443191,2.796979024
FAO (2014),Wheat,Luxembourg,0.9996,0.333333333,1.630423852,0.019643423,0.19145831,0.103601023,,0.111418675,0.036211069,0.041123646,0.047897526,0.007103391,0,0,0.005414328,0.011916618,0.112768554,0,0,0,0,0,0,0,0.009008392,-,2.19443191,1.704283599
FAO (2014),Wheat,Luxembourg,0.9996,0.333333333,1.435074342,0.019398485,0.19145831,0.09681493,,0.111418675,0.036211069,0.041123646,0.047897526,0.007103391,0,0,0.005414328,0.011916618,0.112768554,0,0,0,0,0,0,0,0.008693599,-,2.19443191,1.704283599
FAO (2014),Wheat,Luxembourg,0.9996,0.333333333,1.370448293,0.018023567,0.19145831,0.058722327,,0.111418675,0.036211069,0.041123646,0.047897526,0.007103391,0,0,0.005414328,0.011916618,0.112768554,0,0,0,0,0,0,0,0.008470503,-,2.19443191,1.704283599
Dendooven et al. (2014),Wheat,Mexico,0.169574654,1,0.859884781,0.008387221,0.075660943,0.001143481,0.04508233,0.129347296,,,,0.037723632,0,0,0,0,0,0,0,0,0,0,0,0,0.01229669,0.007495797,172.8455467,201.0656306
Dendooven et al. (2014),Wheat,Mexico,0.001000815,1,2.364309349,0.011748031,0.105978745,0.00061081,0.033867872,0.126241286,,,,0.052839721,0,0,0,0,0,0,0,0,0,0,0,0,0.015455118,0.007084828,158.763589,188.1343096
Dendooven et al. (2014),Wheat,Mexico,0.001501222,1,0.521410301,0.008089562,0.072975773,0.000420597,0.033106429,0.081369859,,,,0.036384838,0,0,0,0,0,0,0,0,0,0,0,0,0.011877047,0.005612386,172.5047366,200.752668
FAO (2014),Wheat,Mongolia,1,1,56.04362672,0.018398842,2.51136E-17,0.109120379,,0,0,0.162930929,0.023127446,0,0,0,0,47.95467733,0.112768554,0,0,0,0,0,0,0,0.008882149,-,2.201068297,67.76594046
FAO (2014),Wheat,Mozambique,0.9665,1,6.81307781,0.001685735,0.002623956,0,,0,0,0.002686306,0.031998185,0,0,0,0.012535553,0,0.112768554,0,0,0,0,0,0,0.243621282,-,-,2.11024594,14.88852369
Sah et al. (2014),Wheat,Nepal,0.672,1,1.702893941,0.027053385,0.196184729,0.001766957,0.080950525,0.086622892,0.055462901,0,0.02539944,0.056692801,0,0,0,0.468328313,0,0,0,0,0,0,0,0,0.018850109,0.077377291,710.8007417,9832.471272
Sah et al. (2014),Wheat,Nepal,0.014,1,1.704443432,0.027111204,0.202397699,0.00136324,0.054396629,0.089366151,0.057219354,0,0.025448168,0.058488205,0,0,0,0.48394063,0,0,0,0,0,0,0,0,0.019011679,0.04269902,435.7434081,6030.851604
Sah et al. (2014),Wheat,Nepal,0.014,1,1.480134242,0.018398411,0.167317494,0.000476569,0.038902266,0.073876929,0.047301916,0,0.024936007,0.048350845,0,0,0,0.396417837,0,0,0,0,0,0,0,0,0.016171231,0.02252842,409.1856983,5663.792451
Bos et al. (2014),Winter Wheat,Netherlands,0.986,0.5,1.871678996,0.121700533,,,,0.240277601,,,,NC,0,0,0,0.460615741,0.088961859,0,0,0,0,0,0,0.000139211,-,-,2.19443191,2.212733472
Bos et al. (2014),Spring Wheat,Netherlands,0.014,1,2.743952342,0.172478323,,,,0.27322342,,,,0,0,0,0,0.875169908,0.088961859,0,0,0,0,0,0,0.0002645,-,-,2.19443191,2.212733472
Vellinga et al. (2013),Wheat,Netherlands,0.986,0.5,1.222051136,0.014474492,0.046112568,0.04368559,,0.074427302,,0.093034128,0.019415818,Incl,0.014561863,0,0,0,0.017797833,0,0,0,0,0,0,0.00012447,0.018946721,-,1.965113776,1.981502824
FAO (2014),Wheat,Niger,0.9959,1,2.156314235,0.004447772,0.034835279,0,,0,0,0.118734742,0.032175376,0,0,0,0.009255459,0,0.112768554,0,0,0,0,0,0,0.001518809,-,-,2.11024594,40.23500422
Bonesmo et al. (2012),Rye,Norway,0.0801,0.5,1.588507742,0.001314035,Incl,0.005743723,Incl,Incl,Incl,Incl,Incl,0.00893823,NC,0,0,0.453124407,Incl,0,0,0,0,0,0,0,-,-,2.19443191,1.39502231
Bonesmo et al. (2012),Spring wheat,Norway,0.9199,0.2,2.025509391,0.023535763,0.134243283,0.008790587,0.063588924,0.254355694,,,,0.012578103,NC,0,0,0.675125418,Incl,0,0,0,0,0,0,0,-,-,2.19443191,1.39502231
Bonesmo et al. (2012),Winter wheat,Norway,0.9199,0.2,1.707191834,0.021637949,0.127177847,0.006938811,0.049458052,0.240224822,,,,0.011571678,NC,0,0,0.489161124,Incl,0,0,0,0,0,0,0,-,-,2.19443191,1.39502231
Korsaeth et al. (2012),Spring wheat,Norway,0.9199,0.2,2.340526833,0.142810124,,0.177342442,0.057141713,0.50350063,,,,,,0,0,0.674807777,0.002384585,0,0,0,0,0,0,0,0.008456763,0.005843178,2.19443191,1.39502231
Korsaeth et al. (2012),Winter wheat,Norway,0.9199,0.2,2.241177888,0.839903699,,,,,,,,,,0,0,0.634301699,Incl,0,0,0,0,0,0,0,0.008763872,0.006127829,2.19443191,1.39502231
Roer et al. (2012),Wheat,Norway,0.9199,0.2,1.61883821,Incl,0.084729307,0.098809236,,0.078860143,0.024500239,0,0.034453461,0,0.025435441,0,0,0.433850522,0.004909811,0,0,0,0,0,0,0,0.008689751,0.00353522,2.19443191,1.39502231
FAO (2014),Wheat,Pakistan,0.835,1,2.868430491,0.061701992,0.435576704,0.14775587,,0.199178736,0.064733089,0.133424217,0.027476643,0.052130478,0,0,0.008724837,0,0.112768554,0,0,0,0,0,0,0,0.027809016,-,3874.326501,240917.743
Borz_cka-Walker et al. (2011),Wheat,Poland,0.677824163,0.5,1.791664522,0.642947471,,,,,,,,,,0,0,0.446111464,Incl,0,0,0,0,0,0,0,0.006709971,0.003294677,2.19443191,4.258448732
Hayer et al. (2008),Wheat,Poland,0.07520982,0.5,1.902881068,0.774591725,,,,,,,,,,0,0,0.310880257,0.096857224,0,0,0,0,0,0,0,0.007844758,0.011751333,101.8861377,227.9915595
Hayer et al. (2008),Wheat,Poland,0.07520982,0.5,1.714636733,0.617056836,,,,,,,,,,0,0,0.31054655,0.096857224,0,0,0,0,0,0,0,0.007097218,0.00980931,101.7791258,227.751398
Vellinga et al. (2013),Rye,Poland,0.677824163,0.5,1.040933005,0.035461368,0.061270577,0.151951032,,0.071890811,,0.041663993,0.025325172,Incl,0.044114816,0,0,0,0.013071057,0,0,0,0,0,0,0,0.01395513,-,1.965113776,3.813440839
Rosado et al. (2013),Wheat,Portugal,0.7989,1,1.946765094,1.144455207,,,,,,,,,0,0,0,0.127278294,0,0,0,0,0,0,0,0,0.019335959,0.005427185,899.2863531,31274.72422
FAO (2014),Wheat,Rwanda,0.9941,1,5.719386521,0.006827653,0.009048124,0,,0,0,0.088084954,0.032482988,0,0,0,0.012785412,0.984065487,0.112768554,0,0,0,0,0,0,0.32590643,-,-,2.11024594,172.4437905
FAO (2014),Wheat,Slovenia,0.9907,0.333333333,1.467657282,0.027774802,0.209283115,0.12812144,,0.092049554,0.029916105,0.019315233,0.046525257,0.005868531,0,0,0.018223774,0.05452056,0.112768554,0,0,0,0,0,0,0,0.009359569,-,2.19443191,2.220150652
FAO (2014),Wheat,Slovenia,0.9907,0.333333333,1.456082765,0.027349321,0.209283115,0.119706684,,0.092049554,0.029916105,0.019315233,0.046525257,0.005868531,0,0,0.018223774,0.05452056,0.112768554,0,0,0,0,0,0,0,0.008933042,-,2.19443191,2.220150652
FAO (2014),Wheat,Slovenia,0.9907,0.333333333,1.391365035,0.024970285,0.209283115,0.072656438,,0.092049554,0.029916105,0.019315233,0.046525257,0.005868531,0,0,0.018223774,0.05452056,0.112768554,0,0,0,0,0,0,0,0.008630758,-,2.19443191,2.220150652
